4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,27,27,27,27,27,27,27,27,27,27,27,27,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
